Actor,Character,SEID
David Blackwood,Security Guard,S04E22
Eric Fleeks,Kicker,S04E22
Donna Evans,Lula,S04E22
Jerry Stiller,Frank Costanza,S04E22
Estelle Harris,Estelle Costanza,S04E22
Jerry Seinfeld,Jerry Seinfeld,S04E23
Jason Alexander,George Costanza,S04E23
Julia Louis-Dreyfus,Elaine Benes,S04E23
Michael Richards,Kramer,S04E23
Anne Twomey,Rita,S04E23
Gina Hecht,Dana Foley,S04E23
Jeremy Piven,Michael Barth (TV George),S04E23
Larry Hankin,Tom Pepper (TV Kramer),S04E23
Kevin Page,Stu,S04E23
Mariska Hargitay,Melissa,S04E23
Laura Waterbury,Casting Director,S04E23
Elena Wohl,Sandi Robbins (TV Elaine),S04E23
Bruce Jarchow,Doctor,S04E23
Al Ruscio,Manager,S04E23
Richard Gant,Fred,S04E23
Peter Blood,Jay,S04E23
Roger Rose,Mark,S04E23
Samantha Dorman,Waitress,S04E23
Erick Avari,Cabbie,S04E23
Bob Shaw,Paul,S04E23
Stephen Burrows,David,S04E23
Bob Balaban,Russell Dalrimple,S04E23
Peter Crombie,"Crazy"" Joe Davola",S04E23
Jerry Seinfeld,Jerry Seinfeld,S04E24
Jason Alexander,George Costanza,S04E24
Julia Louis-Dreyfus,Elaine Benes,S04E24
Michael Richards,Kramer,S04E24
Anne Twomey,Rita,S04E24
Jeremy Piven,Michael Barth (TV George),S04E24
Larry Hankin,Tom Pepper (TV Kramer),S04E24
Kevin Page,Stu,S04E24
Elena Wohl,Sandi Robbins (TV Elaine),S04E24
Al Ruscio,Manager,S04E24
Richard Gant,Fred,S04E24
Peter Blood,Jay,S04E24
Brian Bradley,Butler,S04E24
Bob Shaw,Paul,S04E24
Deborah Swisher,1st AD,S04E24
Jeff Oetjen,Wilton,S04E24
Pat Hazell,Himself,S04E24
Kari Coleman,Allison,S04E24
Bill Erwin,Sid,S04E24
Lanei Chapman,Housekeeper,S04E24
Jane Leeves,Marla,S04E24
Unknown,John-John (Kennedy),S04E24
Rick Overton,The Drake,S04E24
Elizabeth Dennehy,Allison,S04E24
Maggie Han,Cheryl,S04E24
Ping Wu,Ping,S04E24
Brian Doyle-Murray,Mel,S04E24
Carol Mansell,Mother,S04E24
Jon Hayman,Voice of Donald (The Bubble Boy),S04E24
Jennifer Campbell,Tia,S04E24
Nicholas Hormann,Calvin Klein,S04E24
Teri Hatcher,Sidra,S04E24
Tony Amendola,Rushdie,S04E24
Bob Balaban,Russell Dalrimple,S04E24
Peter Crombie,"Crazy"" Joe Davola",S04E24
Heidi Swedberg,Susan Biddle Ross,S04E24
Barney Martin,Morty Seinfeld,S04E24
Liz Sheridan,Helen Seinfeld,S04E24
Wayne Knight,Newman,S04E24
Jerry Seinfeld,Jerry Seinfeld,S05E01
Jason Alexander,George Costanza,S05E01
Julia Louis-Dreyfus,Elaine Benes,S05E01
Michael Richards,Kramer,S05E01
Lisa Edelstein,Karen,S05E01
Leonard Termo,Joe,S05E01
Veralyn Jones,Renee,S05E01
Jerry Seinfeld,Jerry Seinfeld,S05E02
Jason Alexander,George Costanza,S05E02
Julia Louis-Dreyfus,Elaine Benes,S05E02
Michael Richards,Kramer,S05E02
Wendel Meldrum,Leslie,S05E02
David Brisbin,Client,S05E02
Bryant Gumbel,Himself,S05E02
Deborah May,Elsa,S05E02
Michael Mitz,Photographer,S05E02
Kim Gillingham,Assistant,S05E02
Terence Riggins,Stage Manager,S05E02
Ron Ross,Homeless Man,S05E02
Jerry Stiller,Frank Costanza,S05E02
Estelle Harris,Estelle Costanza,S05E02
Jerry Seinfeld,Jerry Seinfeld,S05E03
Jason Alexander,George Costanza,S05E03
Julia Louis-Dreyfus,Elaine Benes,S05E03
Michael Richards,Kramer,S05E03
Timothy Stack,Dwayne,S05E03
Anna Gunn,Amy,S05E03
Tom Towles,Tough Guy,S05E03
Rance Howard,Blind Man,S05E03
Michael Saad,Doctor,S05E03
Kim Gillingham,Assistant,S05E03
Len Lesser,Uncle Leo,S05E03
Jerry Seinfeld,Jerry Seinfeld,S05E04
Jason Alexander,George Costanza,S05E04
Julia Louis-Dreyfus,Elaine Benes,S05E04
Michael Richards,Kramer,S05E04
John Kapelos,Barry,S05E04
Marty Rackham,Jake Jarmel,S05E04
Patrick Cronin,Farkus,S05E04
Christa Miller,Ellen,S05E04
Ralph Harris Jr.,Ralph,S05E04
Maria Stanton,Woman in Diner,S05E04
Deck McKenzie,Mitch,S05E04
Wayne Knight,Newman,S05E04
Estelle Harris,Estelle Costanza,S05E04
Jerry Stiller,Frank Costanza,S05E04
Richard Fancy,Mr Lippman,S05E04
Jerry Seinfeld,Jerry Seinfeld,S05E05
Jason Alexander,George Costanza,S05E05
Julia Louis-Dreyfus,Elaine Benes,S05E05
Michael Richards,Kramer,S05E05
Charles Levin,Mohel,S05E05
Debra Mooney,Mrs Sweedler,S05E05
Tom Alan Robbins,Stan,S05E05
Jeannie Elias,Myra,S05E05
John Gegenhuber,Resident,S05E05
Tia Riebling,Woman,S05E05
Frank Noon,Patient,S05E05
Jerry Seinfeld,Jerry Seinfeld,S05E06
Jason Alexander,George Costanza,S05E06
Julia Louis-Dreyfus,Elaine Benes,S05E06
Michael Richards,Kramer,S05E06
Christopher Darga,Driver,S05E06
Linda Kash,Gwen,S05E06
Jerry Sroka,Todd,S05E06
Marlee Matlin,Laura,S05E06
Veralyn Jones,Renee,S05E06
Dylan Haggerty,Young Man,S05E06
Bret Anthony,Teen,S05E06
Wayne Knight,Newman,S05E06
Jerry Seinfeld,Jerry Seinfeld,S05E07
Jason Alexander,George Costanza,S05E07
Julia Louis-Dreyfus,Elaine Benes,S05E07
Michael Richards,Kramer,S05E07
Maryedith Burrell,Maryedith,S05E07
Peter Keleghan,Lloyd,S05E07
John Christian Graas,Matthew,S05E07
Hugh A. Rose,Doctor,S05E07
Lisa Houle,Cheryl,S05E07
Jed Mills,Joel,S05E07
John Gabriel,Newscaster,S05E07
Darrell Kunitomi,Lab Technician,S05E07
Rudy Giuliani,Himself (uncredited),S05E07
Wayne Knight,Newman,S05E07
Jerry Stiller,Frank Costanza,S05E07
Estelle Harris,Estelle Costanza,S05E07
Jerry Seinfeld,Jerry Seinfeld,S05E08
Jason Alexander,George Costanza,S05E08
Julia Louis-Dreyfus,Elaine Benes,S05E08
Michael Richards,Kramer,S05E08
Anthony Ponzini,Enzo,S05E08
David Ciminello,Gino,S05E08
Michael Fairman,Mr Pensky,S05E08
Jack Shearer,Mr Tuttle,S05E08
Kenny Myles,Mike,S05E08
Peggy Maltby,Clarisse,S05E08
David Richardson,Customer,S05E08
Wayne Knight,Newman,S05E08
Jerry Seinfeld,Jerry Seinfeld,S05E09
Jason Alexander,George Costanza,S05E09
Julia Louis-Dreyfus,Elaine Benes,S05E09
Michael Richards,Kramer,S05E09
Lisa Edelstein,Karen,S05E09
Jennifer Coolidge,Jody,S05E09
Anthony Cistaro,Joel Rifkin,S05E09
John Glen Bishop,Ticket Man,S05E09
Hiram Kasten,Michael,S05E09
Lisa Pescia,Lisa,S05E09
Jerry Seinfeld,Jerry Seinfeld,S05E10
Jason Alexander,George Costanza,S05E10
Julia Louis-Dreyfus,Elaine Benes,S05E10
Michael Richards,Kramer,S05E10
Kimberly Norris,Winona,S05E10
Sam Lloyd,Ricky,S05E10
Carissa Channing,Sylvia,S05E10
Ralph Manza,Gepetto,S05E10
Al Roker,Himself,S05E10
Veralyn Jones,Renee,S05E10
Lisa Pescia,Joanne,S05E10
Benjamin Lum,Mailman,S05E10
Irvin Mosley Jr.,Spike,S05E10
Jerry Stiller,Frank Costanza,S05E10
Estelle Harris,Estelle Costanza,S05E10
Richard Fancy,Mr Lippman,S05E10
Jerry Seinfeld,Jerry Seinfeld,S05E11
Jason Alexander,George Costanza,S05E11
Julia Louis-Dreyfus,Elaine Benes,S05E11
Michael Richards,Kramer,S05E11
Kay E. Kuter,Older Priest,S05E11
Molly Hagan,Sister Roberta,S05E11
Tom Verica,Doctor,S05E11
Kimberley Campbell,Tawni,S05E11
Jana Marie Hupp,Sasha,S05E11
Bill Rose,Younger Priest,S05E11
Randy Brenner,Waiter,S05E11
Darlene Kardon,Mrs Lupchek,S05E11
Karen Rizzo.,Woman Hailing Cab,S05E11
Jerry Stiller,Frank Costanza,S05E11
Estelle Harris,Estelle Costanza,S05E11
Jerry Seinfeld,Jerry Seinfeld,S05E12
Jason Alexander,George Costanza,S05E12
Julia Louis-Dreyfus,Elaine Benes,S05E12
Michael Richards,Kramer,S05E12
Jami Gertz,Jane,S05E12
Dan Cortese,Tony (The Mimbo),S05E12
Jerry Seinfeld,Jerry Seinfeld,S05E13
Jason Alexander,George Costanza,S05E13
Julia Louis-Dreyfus,Elaine Benes,S05E13
Michael Richards,Kramer,S05E13
Fred Pinkard,Newsstand Guy,S05E13
Frank Novak,Clerk,S05E13
Mark Holton,David,S05E13
Suzy Soro,Barbara,S05E13
Kathryn Kates,Counterwoman,S05E13
S. Marc Jordan,Man in Bakery,S05E13
Langdon Bensing,Man on Street,S05E13
Sayed Badreya,Foreign Man,S05E13
Amjad J. Oaisen,Hussein,S05E13
Roger Eschbacher,Man with Cane,S05E13
Jerry Seinfeld,Jerry Seinfeld,S05E14
Jason Alexander,George Costanza,S05E14
Julia Louis-Dreyfus,Elaine Benes,S05E14
Michael Richards,Kramer,S05E14
Carol Kane,Corinne,S05E14
George Murdock,Testikov,S05E14
Rosalind Allen,Diane,S05E14
David Blackwood,Hotel Clerk,S05E14
Heather Morgan,Woman on Beach,S05E14
Larry David,Man on Beach (uncredited),S05E14
Wayne Knight,Newman,S05E14
Richard Fancy,Lippman,S05E14
Jerry Seinfeld,Jerry Seinfeld,S05E15
Jason Alexander,George Costanza,S05E15
Julia Louis-Dreyfus,Elaine Benes,S05E15
Michael Richards,Kramer,S05E15
Suzanne Snyder,Audrey,S05E15
Christine Dunford,Saleswoman,S05E15
Reni Santoni,Poppie,S05E15
Lane Davies,MacKenzie,S05E15
Mark Beltzman,Bob,S05E15
Sunday Theodore,Olive,S05E15
Sam Lloyd,Ricky,S05E15
Paul Mantee,Health Inspector,S05E15
Patricia Belcher,Woman #1,S05E15
Pamela Mant,Woman #2,S05E15
Bernard Hocke,Guy in Diner,S05E15
Eamonn Roche,Waiter,S05E15
Robert Kino,Ricky's Boss,S05E15
Tony Edwards,Businessman,S05E15
Jerry Seinfeld,Jerry Seinfeld,S05E16
Jason Alexander,George Costanza,S05E16
Julia Louis-Dreyfus,Elaine Benes,S05E16
Michael Richards,Kramer,S05E16
Mark Tymchyshyn,Phil,S05E16
Karla Tamburrelli,Daphne,S05E16
Debbie Lee Carrington,Tammy,S05E16
W. Earl Brown,Al,S05E16
Michael Rivkin,Fulton,S05E16
Joe Gieb,Johnny,S05E16
Layne Beamer,Father,S05E16
Thomas Dekker,Son,S05E16
Jerome Betler,Director,S05E16
Danny Woodburn,Mickey Abbott,S05E16
Jerry Seinfeld,Jerry Seinfeld,S05E17
Jason Alexander,George Costanza,S05E17
Julia Louis-Dreyfus,Elaine Benes,S05E17
Michael Richards,Kramer,S05E17
Courteney Cox,Meryl,S05E17
Scott LaRose,Greg,S05E17
Joseph Ragno,Marty,S05E17
Rebecca Glenn,Paula,S05E17
Nick LaTour,Grandpa,S05E17
Susan Segal,Waitress,S05E17
Lili Bernard,Anna,S05E17
Lawrence A. Mandley,Owner,S05E17
Barney Martin,Morty Seinfeld,S05E17
Liz Sheridan,Helen Seinfeld,S05E17
Len Lesser,Uncle Leo,S05E17
Jerry Seinfeld,Jerry Seinfeld,S05E18
Jason Alexander,George Costanza,S05E18
Julia Louis-Dreyfus,Elaine Benes,S05E18
Michael Richards,Kramer,S05E18
Michael G. Hagerty,Rudy,S05E18
Dorien Wilson,Alec,S05E18
Annie Korzen,Doris Klompus,S05E18
Stephen Pearlman,Mr Goldstein,S05E18
Judge Reinhold,Aaron,S05E18
Lisa Pescia,Joanne,S05E18
Jason Manary,Joey,S05E18
LaRita Shelby,Tour Leader,S05E18
Melanie Smith,Rachel,S05E18
Jerry Stiller,Frank Costanza,S05E18
Estelle Harris,Estelle Costanza,S05E18
Barney Martin,Morty Seinfeld,S05E18
Liz Sheridan,Helen Seinfeld,S05E18
Sandy Baron,Jack Klompus,S05E18
Jerry Seinfeld,Jerry Seinfeld,S05E20
Jason Alexander,George Costanza,S05E20
Julia Louis-Dreyfus,Elaine Benes,S05E20
Michael Richards,Kramer,S05E20
Melanie Chartoff,Robin,S05E20
Veanne Cox,Toby,S05E20
Dom Irrera,Ronnie,S05E20
Jon Favreau,Clown,S05E20
Lisa Pescia,Joanne,S05E20
Hiram Kasten,Michael,S05E20
Patience Cleveland,Old Lady,S05E20
Lawrence LeJohn,Fireman,S05E20
Jerry Stiller,"Frank Costanza (voice only, uncredited)",S05E20
Estelle Harris,"Estelle Costanza (voice only, uncredited)",S05E20
Jerry Seinfeld,Jerry Seinfeld,S05E21
Jason Alexander,George Costanza,S05E21
Julia Louis-Dreyfus,Elaine Benes,S05E21
Michael Richards,Kramer,S05E21
Melanie Smith,Rachel,S05E21
Lisa Mende,Carol,S05E21
Melora Walters,Jane,S05E21
Richard Burgi,Ben,S05E21
Mark L. Taylor,Michael,S05E21
Jesse D. Goins,Cop,S05E21
Jerry Seinfeld,Jerry Seinfeld,S05E22
Jason Alexander,George Costanza,S05E22
Julia Louis-Dreyfus,Elaine Benes,S05E22
Michael Richards,Kramer,S05E22
Marty Rackham,Jake Jarmel,S05E22
Siobhan Fallon,Tina,S05E22
Paul Gleason,Cushman,S05E22
Dedee Pfeiffer,Victoria,S05E22
Melanie Smith,Rachel,S05E22
Regis Philbin,Himself,S05E22
Kathie Lee Gifford,Herself,S05E22
Hiram Kasten,Michael,S05E22
French Stewart,Manager,S05E22
Ken Takemoto,Chairman,S05E22
Fritz Mashimo,Interpreter,S05E22
Susan Segal,Waitress,S05E22
Oscar Jordan,Counterperson,S05E22
Rolando Molina,Punk #1,S05E22
Michael Friedman,Punk #2,S05E22
Marvin Braverman,Poker Player #1,S05E22
Wesley Thompson,Poker Player #2,S05E22
Jeff Barton,Poker Player #3,S05E22
Jeffrey Von Meyer,Poker Player #4,S05E22
Larry David,Voice of George Steinbrenner (uncredited),S05E22
Jerry Stiller,Frank Costanza,S05E22
Estelle Harris,Estelle Costanza,S05E22
Richard Fancy,Mr Lippman,S05E22
Jerry Seinfeld,Jerry Seinfeld,S06E01
Jason Alexander,George Costanza,S06E01
Julia Louis-Dreyfus,Elaine Benes,S06E01
Michael Richards,Kramer,S06E01
Gail Strickland,Landis,S06E01
Marguerite MacIntyre,Karen (Miss Rhode Island),S06E01
Danny Tartabull,Himself,S06E01
Buck Showalter,Himself,S06E01
Ian Abercrombie,Mr Pitt,S06E01
Jerry Seinfeld,Jerry Seinfeld,S06E02
Jason Alexander,George Costanza,S06E02
Julia Louis-Dreyfus,Elaine Benes,S06E02
Michael Richards,Kramer,S06E02
Michelle Forbes,Julie,S06E02
Jerry Levine,Stationer,S06E02
Marita Geraghty,Margaret,S06E02
Barry Nolan,Reporter,S06E02
Dean Hallo,Gendason,S06E02
Lauren Bowles,Waitress,S06E02
Wayne Knight,Newman,S06E02
Jerry Seinfeld,Jerry Seinfeld,S06E03
Jason Alexander,George Costanza,S06E03
Julia Louis-Dreyfus,Elaine Benes,S06E03
Michael Richards,Kramer,S06E03
Kelly Coffield,Noreen,S06E03
Billye Ree Wallace,Nana,S06E03
Brian Reddy,Dan,S06E03
Rebecca Staab,Kristin,S06E03
Danny Tartabull,Himself,S06E03
Tom Wright,Executive (Mr Morgan),S06E03
James Reynolds,Banker,S06E03
Lauren Bowles,Waitress,S06E03
F.J. Rio,Street Tough,S06E03
Thom Vernon,Driver,S06E03
Len Lesser,Uncle Leo,S06E03
Ian Abercrombie,Mr Pitt,S06E03
Jerry Seinfeld,Jerry Seinfeld,S06E04
Jason Alexander,George Costanza,S06E04
Julia Louis-Dreyfus,Elaine Benes,S06E04
Michael Richards,Kramer,S06E04
Kelly Coffield,Noreen,S06E04
Angela Dohrmann,Donna Chang,S06E04
Will Utay,Dr Korval,S06E04
Lucy Lin,Hostess,S06E04
Jack Tracy,Man,S06E04
Larry David,Man wearing cape/Lawyer (uncredited),S06E04
Jerry Stiller,Frank Costanza,S06E04
Estelle Harris,Estelle Costanza,S06E04
Jerry Seinfeld,Jerry Seinfeld,S06E05
Jason Alexander,George Costanza,S06E05
Julia Louis-Dreyfus,Elaine Benes,S06E05
Michael Richards,Kramer,S06E05
Reni Santoni,Poppie,S06E05
David James Elliott,Carl,S06E05
Robert Hooks,Joe Temple,S06E05
Denise Dowse,Mother,S06E05
Patton Oswalt,Clerk,S06E05
Diana Theodore,Remy,S06E05
Jessica Hecht,Marie,S06E05
Mari Weiss,Woman #1,S06E05
Tamar Cooper,Woman #2,S06E05
Beverly C. Brown,Woman #3,S06E05
Jeris Lee Poindexter,Man,S06E05
Jerry Seinfeld,Jerry Seinfeld,S06E06
Jason Alexander,George Costanza,S06E06
Julia Louis-Dreyfus,Elaine Benes,S06E06
Michael Richards,Kramer,S06E06
Lois Nettleton,Mrs Enright,S06E06
Elina Löwensohn,Katya,S06E06
Jessica Hecht,Lindsay,S06E06
Maurice Godin,Misha,S06E06
James Sweeney,Aronson,S06E06
David Blackwood,Beck,S06E06
Phil Ramsey,Man in Car,S06E06
Damian London,Party Guest,S06E06
Ian Abercrombie,Mr Pitt,S06E06
Jerry Seinfeld,Jerry Seinfeld,S06E07
Jason Alexander,George Costanza,S06E07
Julia Louis-Dreyfus,Elaine Benes,S06E07
Michael Richards,Kramer,S06E07
Tracy Kolis,Kelly,S06E07
Daniel Gerroll,Simon,S06E07
Linda Wallem,Hildy,S06E07
Lawrence A. Mandley,Manager / Monk's,S06E07
Michael Kaplan,Waiter,S06E07
Steve Hytner,Kenny Bania,S06E07
Jerry Seinfeld,Jerry Seinfeld,S06E08
Jason Alexander,George Costanza,S06E08
Julia Louis-Dreyfus,Elaine Benes,S06E08
Michael Richards,Kramer,S06E08
Jon Voight,Himself,S06E08
Elsa Raven,Mom,S06E08
Michael Robello,Pop,S06E08
Bryan Cranston,Dr Tim Whatley,S06E08
Tom Wright,Mr Morgan,S06E08
Ken Thorley,Car Salesman,S06E08
Dan Frischman,Guy on Phone,S06E08
Rick Fitts,Dentist,S06E08
Nancy Balbirer,Woman at Party,S06E08
Pat Asanti,Electrician,S06E08
Steve Brady,Man at Party,S06E08
Matt Gallini,Tough Guy,S06E08
Ian Abercrombie,Mr Pitt,S06E08
Jerry Seinfeld,Jerry Seinfeld,S06E09
Jason Alexander,George Costanza,S06E09
Julia Louis-Dreyfus,Elaine Benes,S06E09
Michael Richards,Kramer,S06E09
Vicki Lewis,Ada (The Secretary),S06E09
Joseph R. Sicari,Willie,S06E09
Arminae Azarian,Saleswoman,S06E09
Mitzi McCall,Donna,S06E09
Richard Marion,Guy,S06E09
Thomas Mills,Moviegoer,S06E09
Glynis McCants,Woman,S06E09
Courtney Taylor,Attractive Applicant,S06E09
Steve Hytner,Kenny Bania,S06E09
Jerry Seinfeld,Jerry Seinfeld,S06E10
Jason Alexander,George Costanza,S06E10
Julia Louis-Dreyfus,Elaine Benes,S06E10
Michael Richards,Kramer,S06E10
Todd Kimsey,Ned,S06E10
Renee Props,Lois,S06E10
Don R. McManus,Duncan,S06E10
Vicki Lewis,Ada,S06E10
Claude Earl Jones,Mr Bevilaqua,S06E10
Mark Christopher Lawrence,Boss,S06E10
Michael Sorich,Castro,S06E10
Denise Poirier,Arlene,S06E10
Spencer Klein,Kid,S06E10
Martin Chow,Lew,S06E10
Eva Svensson,Woman,S06E10
Danny Woodburn,Mickey Abbott,S06E10
Jerry Seinfeld,Jerry Seinfeld,S06E11
Jason Alexander,George Costanza,S06E11
Julia Louis-Dreyfus,Elaine Benes,S06E11
Michael Richards,Cosmo Kramer,S06E11
Sheree North,Babs Kramer,S06E11
Gail Strickland,Landis,S06E11
Charlotte Lewis,Nina,S06E11
Jann Karam,Sandi,S06E11
Terry Sweeney,Keith,S06E11
Heather Medway,Laura,S06E11
Clive Rosengren,Mr Clotworthy,S06E11
Jacqueline M. Houston,Lorraine,S06E11
Cheryl Francis Harrington,Waitress,S06E11
Tish Smiley,Woman,S06E11
Wayne Knight,Newman,S06E11
Jerry Seinfeld,Jerry Seinfeld,S06E12
Jason Alexander,George Costanza,S06E12
Julia Louis-Dreyfus,Elaine Benes,S06E12
Michael Richards,Cosmo Kramer,S06E12
Bryan Cranston,Dr Tim Whatley,S06E12
Jessica Tuck,Bonnie,S06E12
Cleto Augusto,Scott,S06E12
Wayne Grace,Ukranian,S06E12
Wayne Knight,Newman,S06E12
Jerry Seinfeld,Jerry Seinfeld,S06E13
Jason Alexander,George Costanza,S06E13
Julia Louis-Dreyfus,Elaine Benes,S06E13
Michael Richards,Cosmo Kramer,S06E13
Marty Rackham,Jake Jarmel,S06E13
Barbara Alyn Woods,Debby,S06E13
Ivory Ocean,Officer Morgan,S06E13
Basil Hoffman,Salesman,S06E13
Lillian Lehman,Judge,S06E13
Jon Lovitz,Gary Fogel,S06E13
Danny Breen,Guy With Glasses,S06E13
Bob Shaw,Cabbie,S06E13
Dale Harimoto,Reporter,S06E13
Joe Ochman,Customer,S06E13
Elisabeth Sjoli,Woman,S06E13
Wayne Knight,Newman,S06E13
Richard Fancy,Mr Lippman,S06E13
Jerry Seinfeld,Jerry Seinfeld,S06E16
Jason Alexander,George Costanza,S06E16
Julia Louis-Dreyfus,Elaine Benes,S06E16
Michael Richards,Cosmo Kramer,S06E16
Robert Mailhouse,Robert,S06E16
Katherine LaNasa,Cathy,S06E16
Jonathan Gries,Homeless Man,S06E16
Ed Winter,Mr Stevenson,S06E16
Georgann Johnson,Mrs Stevenson,S06E16
Joan Elizabeth,Denise,S06E16
John F. O'Donohue,Gus,S06E16
Jerry Diner,Lou,S06E16
Mirron E. Willis,Officer #1,S06E16
Ken Kerman,Officer #2,S06E16
Jerry Seinfeld,Jerry Seinfeld,S06E17
Jason Alexander,George Costanza,S06E17
Julia Louis-Dreyfus,Elaine Benes,S06E17
Michael Richards,Cosmo Kramer,S06E17
Wendie Malick,Wendy,S06E17
Billye Ree Wallace,Nana,S06E17
Carol Leifer,Receptionist,S06E17
Julio Oscar Mechoso,Julio,S06E17
Rondi Reed,Mary,S06E17
Gene Elman,Buddy,S06E17
Mary Scheer,Joan,S06E17
Louisa Abernathy,Nurse,S06E17
Timothy McNeil,Jeff,S06E17
Mark Fite,Jack,S06E17
C.D. LaBove,Steve,S06E17
Wendy Worthington,Louise,S06E17
Belinda Barry,Stephanie,S06E17
Liz Sheridan,Helen Seinfeld,S06E17
Barney Martin,Morty Seinfeld,S06E17
Len Lesser,Uncle Leo,S06E17
Jerry Seinfeld,Jerry Seinfeld,S06E18
Jason Alexander,George Costanza,S06E18
Julia Louis-Dreyfus,Elaine Benes,S06E18
Michael Richards,Cosmo Kramer,S06E18
Larry Miller,Doorman,S06E18
Patrick Cronin,Farkus,S06E18
Reni Santoni,Poppie,S06E18
Edith Fields,Mrs Payton,S06E18
Nick Jameson,Horst,S06E18
Jack Betts,Mr Green,S06E18
Barbara Pilavin,German Woman,S06E18
Toni Sawyer,Tenant #1,S06E18
Nigel Gibbs,Tenant #2,S06E18
Deck McKenzie,Delivery Man,S06E18
Trudi Forristal,Buxom Woman,S06E18
Jerry Stiller,Frank Costanza,S06E18
Estelle Harris,Estelle Costanza,S06E18
Ian Abercrombie,Mr Pitt,S06E18
Jerry Seinfeld,Jerry Seinfeld,S06E19
Jason Alexander,George Costanza,S06E19
Julia Louis-Dreyfus,Elaine Benes,S06E19
Michael Richards,Cosmo Kramer,S06E19
Anthony Starke,Jimmy,S06E19
Bryan Cranston,Dr Tim Whatley,S06E19
Robert Katims,DEENSFREI:,S06E19
Mel Torme,Himself,S06E19
Alison Armitage,Cheryl,S06E19
J.D. Bridges,Paramedic,S06E19
Elan Carter,Receptionist,S06E19
Richard Herd,Wilhelm,S06E19
Jerry Seinfeld,Jerry Seinfeld,S06E20
Jason Alexander,George Costanza,S06E20
Julia Louis-Dreyfus,Elaine Benes,S06E20
Michael Richards,Cosmo Kramer,S06E20
Billye Ree Wallace,Nana,S06E20
Christa Miller,Paula,S06E20
Dana Wheeler-Nicholson,Shelly,S06E20
Guy Siner,Mandel,S06E20
Ellis E. Williams,Karl,S06E20
Coby Turner,Judy,S06E20
Wayne C. Dvorak,Teacher,S06E20
Norman Brenner,Passerby,S06E20
Wayne Knight,Newman,S06E20
Barney Martin,Morty Seinfeld,S06E20
Liz Sheridan,Helen Seinfeld,S06E20
Len Lesser,Uncle Leo,S06E20
Jerry Seinfeld,Jerry Seinfeld,S06E21
Jason Alexander,George Costanza,S06E21
Julia Louis-Dreyfus,Elaine Benes,S06E21
Michael Richards,Cosmo Kramer,S06E21
Marla Sucharetza,Nancy,S06E21
Lou Cutell,Dr Cooperman,S06E21
Yvette Cruise,Clerk,S06E21
Estelle Harris,Estelle Costanza,S06E21
Jerry Stiller,Frank Costanza,S06E21
Patrick Warburton,David Puddy,S06E21
Jerry Seinfeld,Jerry Seinfeld,S06E22
Jason Alexander,George Costanza,S06E22
Julia Louis-Dreyfus,Elaine Benes,S06E22
Michael Richards,Cosmo Kramer,S06E22
Tom Wright,Mr Morgan,S06E22
Robert Hooks,Joe,S06E22
Debra Jo Rupp,Katie,S06E22
Kim Zimmer,Lenore,S06E22
O'Neal Compton,Earl,S06E22
Ellis E. Williams,"Karl, the exterminator",S06E22
John Cothran Jr.,Man,S06E22
William B. Jackson,Doctor,S06E22
Christine Cattell,Stewardess,S06E22
Diana Theodore,Remy,S06E22
Berta Maria Waagfjord,Bridgette,S06E22
Mark Wheatle,Waiter,S06E22
Wayne Knight,Newman,S06E22
Ian Abercrombie,Mr Pitt,S06E22
Jerry Seinfeld,Jerry Seinfeld,S06E23
Jason Alexander,George Costanza,S06E23
Julia Louis-Dreyfus,Elaine Benes,S06E23
Michael Richards,Cosmo Kramer,S06E23
Katy Selverstone,Siena,S06E23
Mark DeCarlo,Alec Berg,S06E23
Raye Birk,Mr Pless,S06E23
Pierrino Mascarino,Father Hernandez,S06E23
Joe Lala,Priest,S06E23
Peggy Lane O'Rourke,Waitress,S06E23
David Richardson,Fan #1,S06E23
Dave Powledge,Fan #2,S06E23
Jan Eddy,Fan #3,S06E23
Lawrence LeJohn,Crowd Member,S06E23
Fred Stoller,Crowd Member (uncredited cameo),S06E23
Patrick Warburton,David Puddy,S06E23
Jerry Seinfeld,Jerry Seinfeld,S06E24
